Unnamed: 0,Temp_min,Temp_max,pH_min,pH_max,conduc_min,conduc_max,bod_min,bod_max,nitrate_min,nitrate_max,Fcoli_min,Fcoli_max,Tcoli_min,Tcoli_max,Tds_min,Tds_max,F_min,F_max,Ar_min,Ar_max
234,-1.0,-1.0,6.8,6.8,-1.0,-1.0,-1.0,-1.0,0.3,0.3,-1.0,-1.0,-1.0,-1.0,730.0,730.0,-1.0,-1.0,-1.0,-1.0
235,29.0,29.0,7.1,7.1,118.0,118.0,1.8,1.8,0.5,0.5,2.0,2.0,2.0,2.0,77.0,77.0,0.2,0.2,0.001,0.001
236,28.0,28.0,7.9,7.9,101.0,101.0,1.9,1.9,0.5,0.5,2.0,2.0,2.0,2.0,64.0,64.0,0.2,0.2,0.001,0.001
237,29.0,29.0,5.0,5.0,91.0,91.0,1.2,1.2,0.3,0.3,2.0,2.0,2.0,2.0,54.0,54.0,0.2,0.2,0.001,0.001
238,28.0,28.0,5.6,5.6,122.0,122.0,4.2,4.2,0.3,0.3,2.0,2.0,2.0,2.0,77.0,77.0,0.2,0.2,0.001,0.001
239,28.0,28.0,6.9,6.9,314.0,314.0,1.7,1.7,0.3,0.3,2.0,2.0,5.0,5.0,163.0,163.0,0.4,0.4,0.001,0.001
240,29.0,29.0,7.1,7.1,258.0,258.0,2.0,2.0,0.3,0.3,2.0,2.0,2.0,2.0,144.0,144.0,0.4,0.4,0.001,0.001
241,30.0,30.0,6.3,6.3,378.0,378.0,1.0,1.0,2.5,2.5,2.0,2.0,2.0,2.0,234.0,234.0,0.2,0.2,0.001,0.001
242,27.0,27.0,7.7,7.7,2032.0,3326.0,1.0,1.0,0.38,0.4,2.0,2.0,2.0,2.0,1076.0,1680.0,0.4,0.5,0.001,0.001
243,30.0,31.0,7.9,8.4,3077.0,3348.0,1.0,2.3,0.3,0.3,2.0,2.0,2.0,2.0,1876.0,2036.0,0.3,0.7,0.001,0.001
244,27.0,29.0,7.8,8.3,1049.0,1332.0,1.0,1.0,0.3,0.3,2.0,2.0,2.0,2.0,702.0,814.0,0.4,0.6,-1.0,-1.0
245,29.0,30.0,8.1,8.7,1172.0,1265.0,1.0,1.0,0.3,1.77,2.0,2.0,2.0,2.0,760.0,810.0,0.6,0.7,0.001,0.001
246,28.0,28.0,7.2,7.2,1206.0,1206.0,1.4,1.4,1.1,1.1,-1.0,-1.0,-1.0,-1.0,1032.0,1032.0,0.2,0.2,0.004,0.004
247,30.0,33.0,7.0,8.6,2525.0,3101.0,1.0,1.0,0.3,0.3,2.0,2.0,2.0,2.0,1636.0,2014.0,0.8,1.0,0.001,0.002
248,29.0,29.0,8.2,8.2,2324.0,2324.0,1.0,1.0,1.5,1.5,2.0,2.0,2.0,2.0,1390.0,1390.0,1.0,1.0,0.001,0.001
249,27.0,29.0,7.6,8.3,894.0,940.0,1.0,1.0,0.3,0.35,2.0,2.0,2.0,2.0,580.0,610.0,0.8,1.0,0.001,0.001
250,31.0,33.0,8.0,8.3,2337.0,2399.0,1.0,2.6,0.3,0.4,2.0,2.0,2.0,2.0,1420.0,1462.0,0.3,0.5,0.001,0.001
251,30.0,30.0,8.4,8.5,1256.0,1405.0,1.0,2.1,0.3,0.8,2.0,2.0,2.0,2.0,762.0,856.0,0.2,0.4,0.001,0.001
252,27.0,28.0,7.1,7.9,2780.0,3180.0,1.0,1.0,0.3,0.9,2.0,2.0,2.0,2.0,1576.0,1816.0,0.6,1.3,0.001,0.001
253,30.0,31.0,7.6,7.8,7767.0,8704.0,1.2,2.8,0.3,0.6,2.0,2.0,2.0,2.0,4722.0,5308.0,0.4,0.8,0.001,0.001
254,29.0,29.0,7.1,7.1,2164.0,2164.0,1.0,1.0,0.5,0.5,2.0,2.0,2.0,2.0,1276.0,1276.0,0.7,0.7,0.001,0.001
255,31.0,32.0,7.3,8.5,5155.0,5910.0,1.0,1.0,0.3,0.6,2.0,2.0,2.0,2.0,3150.0,3232.0,0.6,0.9,0.001,0.001
256,32.0,32.0,7.2,8.2,5462.0,6041.0,1.0,1.0,0.3,0.3,2.0,2.0,2.0,2.0,3240.0,3242.0,0.4,0.5,0.001,0.001
257,27.0,33.0,7.3,7.4,384.0,2519.0,1.4,1.4,1.0,1.58,2.0,2.0,2.0,2.0,252.0,2168.0,0.2,0.3,0.001,0.005
258,29.0,30.0,7.7,7.9,3771.0,3868.0,1.0,2.7,0.3,0.7,2.0,2.0,2.0,2.0,2292.0,2358.0,0.3,0.7,0.001,0.001
259,29.0,30.0,8.0,8.3,1886.0,2096.0,1.0,2.0,0.3,0.4,2.0,2.0,2.0,2.0,1146.0,1278.0,0.2,0.5,0.001,0.001
260,25.0,27.0,7.6,8.0,1056.0,3288.0,1.0,1.0,0.41,0.7,2.0,2.0,2.0,2.0,562.0,1632.0,0.3,0.5,0.001,0.001
261,28.0,30.0,7.8,8.1,1853.0,2330.0,1.0,1.0,0.3,0.3,2.0,2.0,2.0,2.0,974.0,1484.0,0.7,0.8,0.001,0.001
262,27.0,30.0,7.4,8.5,2265.0,2307.0,1.0,1.0,0.3,0.34,2.0,2.0,2.0,2.0,940.0,1276.0,0.6,0.9,0.001,0.001
263,27.0,30.0,7.4,8.3,1998.0,2418.0,1.0,1.0,0.3,0.39,2.0,2.0,2.0,2.0,1070.0,1448.0,0.5,0.8,0.001,0.001
265,26.0,28.0,7.2,8.2,3401.0,3895.0,1.0,1.0,0.3,1.2,2.0,2.0,2.0,2.0,1922.0,2362.0,0.7,2.0,-1.0,-1.0
266,28.0,29.0,7.2,7.3,3352.0,3384.0,1.0,1.9,0.3,0.3,2.0,2.0,2.0,2.0,1926.0,2196.0,0.2,0.6,-1.0,-1.0
267,27.0,30.0,7.4,8.2,2708.0,2855.0,1.0,1.3,0.3,0.38,2.0,2.0,2.0,2.0,1402.0,1486.0,0.7,0.9,0.001,0.001
268,27.0,30.0,7.6,8.5,2350.0,2474.0,1.0,1.0,0.3,0.91,2.0,2.0,2.0,2.0,1198.0,1346.0,0.8,1.0,0.001,0.001
269,29.0,30.0,7.6,8.5,9271.0,11165.0,1.7,2.5,1.1,1.32,2.0,2.0,2.0,2.0,6670.0,7530.0,1.4,1.6,0.001,0.001
270,27.0,27.0,7.4,7.4,1526.0,1526.0,1.4,1.4,1.3,1.3,-1.0,-1.0,-1.0,-1.0,1088.0,1088.0,0.3,0.3,0.002,0.002
271,28.0,29.0,7.5,7.7,817.0,994.0,1.0,1.0,0.3,0.4,2.0,2.0,2.0,2.0,496.0,496.0,0.2,0.2,0.001,0.001
272,29.0,29.0,7.7,7.7,2091.0,2091.0,1.0,1.0,0.3,0.3,2.0,2.0,2.0,2.0,1140.0,1140.0,0.8,0.8,0.001,0.001
273,29.0,30.0,7.7,8.1,4990.0,5249.0,1.0,1.0,0.3,0.3,2.0,2.0,2.0,2.0,3240.0,3410.0,0.9,0.9,0.001,0.002
274,25.0,27.0,7.3,7.6,3309.0,3415.0,1.0,1.1,0.3,0.33,2.0,2.0,2.0,2.0,1166.0,2580.0,0.2,0.3,0.001,0.001
275,31.0,33.0,7.8,8.4,1847.0,2398.0,1.0,2.7,0.3,0.5,2.0,2.0,2.0,2.0,1122.0,1462.0,0.4,0.5,0.001,0.001
276,29.0,29.0,7.7,7.8,1731.0,2193.0,1.0,1.0,0.3,0.5,2.0,2.0,2.0,2.0,908.0,1342.0,0.4,0.8,-1.0,-1.0
277,29.0,30.0,7.2,7.8,2509.0,3840.0,1.1,1.4,1.1,1.58,2.0,2.0,2.0,2.0,2142.0,2716.0,0.2,0.8,0.001,0.003
278,26.0,30.0,7.4,7.4,5212.0,5238.0,1.0,1.0,0.3,0.3,2.0,2.0,2.0,2.0,2704.0,3312.0,0.2,1.4,-1.0,-1.0
279,29.0,30.0,7.9,8.1,3115.0,3146.0,1.0,1.0,0.4,0.47,2.0,2.0,2.0,2.0,2076.0,2086.0,0.7,1.0,0.001,0.001
280,29.0,33.0,7.1,8.0,2172.0,3283.0,1.0,1.0,0.3,2.02,2.0,2.0,2.0,2.0,1460.0,1756.0,0.8,0.9,0.001,0.001
281,31.0,31.0,8.2,8.2,2530.0,2530.0,2.8,2.8,0.3,0.3,2.0,2.0,2.0,2.0,1538.0,1538.0,0.6,0.6,0.001,0.001
282,30.0,32.0,7.3,8.1,3460.0,4367.0,1.0,1.0,0.3,0.7,2.0,2.0,2.0,2.0,1956.0,2388.0,0.5,0.8,0.001,0.001
283,28.0,29.0,7.6,7.9,1917.0,2028.0,1.0,1.0,0.91,1.3,2.0,2.0,2.0,2.0,1072.0,1240.0,0.7,0.9,0.001,0.001
284,26.0,26.0,7.7,7.9,2817.0,3740.0,1.0,1.2,0.3,0.3,2.0,2.0,2.0,2.0,1384.0,1448.0,0.2,0.2,0.001,0.001
285,25.0,26.0,6.7,7.4,4590.0,8115.0,1.0,1.0,0.3,0.3,2.0,2.0,2.0,2.0,3488.0,3580.0,0.2,0.2,0.001,0.001
286,26.0,26.0,7.5,7.9,2410.0,2631.0,1.0,1.1,0.3,0.33,2.0,2.0,2.0,2.0,1386.0,1414.0,0.2,0.2,0.001,0.001
287,29.0,29.0,7.5,7.6,619.0,853.0,1.0,1.0,0.3,0.3,2.0,2.0,2.0,2.0,388.0,550.0,0.2,0.4,-1.0,-1.0
288,27.0,28.0,7.5,8.4,2480.0,2536.0,1.0,1.0,0.3,0.81,2.0,2.0,2.0,2.0,1154.0,1374.0,0.2,0.9,0.001,0.001
289,27.0,30.0,7.6,7.9,820.0,1128.0,1.0,1.0,0.36,1.4,2.0,2.0,2.0,2.0,364.0,622.0,0.9,1.0,0.001,0.001
290,27.0,29.0,7.7,8.3,1716.0,1888.0,1.0,1.0,0.31,0.6,2.0,2.0,2.0,2.0,1120.0,1198.0,1.2,1.2,0.001,0.001
291,27.0,29.0,7.9,8.5,2399.0,3100.0,1.0,1.0,0.3,0.6,2.0,2.0,2.0,2.0,1412.0,1520.0,1.3,1.4,0.001,0.001
292,30.0,30.0,7.4,7.7,2940.0,3180.0,1.4,1.7,0.3,0.31,2.0,2.0,2.0,2.0,2310.0,2420.0,0.6,0.7,-1.0,-1.0
293,27.0,29.0,8.1,8.3,1195.0,1356.0,1.0,1.0,0.4,0.7,2.0,2.0,2.0,2.0,680.0,680.0,0.7,1.6,0.001,0.001
294,27.0,29.0,7.8,8.4,1170.0,1240.0,1.0,1.0,0.9,0.93,2.0,2.0,2.0,2.0,680.0,850.0,0.7,1.0,0.001,0.001
295,25.0,26.0,7.8,7.8,965.0,1114.0,1.0,1.0,0.3,0.92,2.0,2.0,2.0,2.0,554.0,616.0,0.5,0.5,0.001,0.001
296,26.0,26.0,7.1,7.1,1452.0,1789.0,1.0,1.0,0.3,0.31,2.0,2.0,2.0,2.0,746.0,860.0,0.2,0.3,0.001,0.001
297,28.0,29.0,7.3,7.4,890.0,1153.0,1.2,1.4,1.1,1.19,2.0,2.0,2.0,2.0,712.0,796.0,0.2,0.2,0.001,0.003
298,29.0,29.0,7.5,8.1,3267.0,3267.0,1.0,1.0,0.3,0.83,2.0,2.0,2.0,2.0,1330.0,1736.0,0.5,0.7,0.001,0.001
299,29.0,33.0,7.6,8.4,1407.0,1868.0,1.0,1.0,0.7,1.86,2.0,2.0,2.0,2.0,1084.0,1460.0,0.8,1.3,0.001,0.001
