,Stn_code,Location,State_Name,Temp_min,Temp_max,pH_min,pH_max,conduc_min,conduc_max,bod_min,bod_max,nitrate_min,nitrate_max,Fcoli_min,Fcoli_max,Tcoli_min,Tcoli_max,Tds_min,Tds_max,F_min,F_max,Ar_min,Ar_max
142,2588.0,"HAND PUMP WATER AT D.M
OFFICE, KISHANGANJ",BIHAR,25,25,7.6,7.7,784,810,-,-,1.7,3.07,23,23,23,23,504,532,0.2,0.2,-,-
143,2582.0,"HAND PUMP WATER AT DARBHANGA BUS STAND,
DARBHANGA",BIHAR,20,20,8.1,8.1,352,352,-,-,0.3,0.3,7,7,7,7,228,228,0.2,0.2,-,-
144,2581.0,"HAND PUMP WATER AT KILA
GATE NEAR RAMBAGH MITHILA UNIVERSITY, DARBHANGA",BIHAR,21,25,7.4,7.9,273,445,-,-,0.3,1.9,23,23,49,49,186,294,0.2,0.3,-,-
145,2578.0,"HAND PUMP WATER AT SARDAR
PATEL BUS STAND, BHOJPUR",BIHAR,23,26,6.9,7.3,1011,1300,-,-,1.95,5.6,23,23,23,23,664,874,0.2,0.3,-,-
146,2584.0,"HAND PUMP WATER AT
THAWAY MANDIR CAMPUS, GOPALGANJ",BIHAR,27,27,7.2,7.2,1170,1170,-,-,5.3,5.3,23,23,23,23,758,758,0.2,0.2,-,-
147,2580.0,"HAND PUMP WATER FROM
NAGAR PARISHAD, BHABHUA",BIHAR,22,22,7.1,7.1,1330,1330,-,-,2.85,2.85,23,23,23,23,898,898,0.2,0.2,-,-
148,1839.0,"HAND PUMP WATER IN CAMPUS
OF KASTURBA WATER WORKS, MUNGER",BIHAR,21,27,7.4,7.9,247,399,-,-,0.3,2.68,23,79,23,79,160,266,0.2,0.3,-,-
149,1836.0,"HAND PUMP WATER NEAR BUS
STAND TILKS MANJHI CHOWK, BEGUSARAI",BIHAR,21,21,7.2,7.2,257,257,-,-,0.3,0.3,-,-,-,-,172,172,0.2,0.2,-,-
150,1835.0,"HAND PUMP WATER NEAR
COURT LOWER COURT, PURNEA",BIHAR,26,27,7.1,7.5,470,788,-,-,1.5,5.14,27,27,27,27,306,520,0.2,0.2,-,-
151,2589.0,"HAND PUMP WATER NEAR D.M
OFFICE, MADHEPURA",BIHAR,25,27,7.3,8.6,535,748,-,-,1.6,3.42,5,5,7,7,364,492,0.2,0.2,-,-
152,1834.0,"HAND PUMP WATER NEAR GOVT. HOSPITAL, PURNEA",BIHAR,26,28,7.4,7.7,425,912,-,-,1.8,2.39,23,23,23,23,272,598,0.2,0.3,-,-
153,2587.0,"HAND PUMP WATER NEAR
SADAR HOSPITAL, KHAGARIA",BIHAR,26,28,7.2,7.9,767,800,-,-,1.8,3.35,23,23,2,23,12,520,0.2,0.2,-,-
154,1843.0,"PHED WATER SUPPLY NEAR BUS
STAND, RAJGIR",BIHAR,25,25,7.3,7.3,486,486,-,-,1.14,1.14,23,23,23,23,326,326,0.2,0.2,-,-
155,2591.0,"TAP WATER INSIDE THE CAMPUS OF TOURIST CAFETERIA,
NALANDA",BIHAR,21,21,7.1,7.1,1440,1440,-,-,2.59,2.59,-,-,-,-,1002,1002,0.2,0.2,-,-
156,2585.0,"TAP WATER NEAR PANI TANKI AT JAHANABAD COURT,
JAHANABAD",BIHAR,25,25,7.8,7.8,944,944,-,-,5.34,5.34,23,23,23,23,648,648,0.2,0.2,-,-
157,1840.0,"TAP WATER PHED PUMP HOUSE
MAIN ROAD, MOTIHARI",BIHAR,24,24,8.2,8.2,312,312,-,-,0.3,0.3,12,12,23,23,202,202,0.2,0.2,-,-
158,1842.0,"TAP WATER SAMPLE AT
RAMKUND, GAYA",BIHAR,21,21,8.7,8.7,480,480,-,-,5.12,5.12,-,-,-,-,322,322,0.2,0.2,-,-
159,1841.0,"TAP WELL WATER FROM T. MODAL INTER SCHOOL, G.B
ROAD, GAYA",BIHAR,24,24,7.0,7.0,1120,1120,-,-,0.75,0.75,23,23,23,23,732,732,0.2,0.2,-,-
160,2579.0,"TUBE WELL WATER AT
COLLECTRIATE CAMPUS, BUXAR",BIHAR,20,24,6.7,7.2,729,907,-,-,1.5,1.84,-,-,-,-,502,598,0.2,0.2,-,-
161,2592.0,"HAND WATER AT CIVIL COURT
BIHAR SHARIF, NALANDA",BIHAR,24,24,7.8,7.8,2080,2080,-,-,5.69,5.69,5,5,9,9,1476,1476,0.2,0.2,-,-
162,2598.0,"BOREWELL WATER NEAR DHARMSHALA SASARAM,
ROHTAS",BIHAR,21,21,7.9,7.9,241,241,-,-,0.3,0.3,23,23,23,23,160,160,0.2,0.2,-,-
163,2599.0,"GROUND WATER BUS STAND
SASARAM, ROHTAS",BIHAR,20,20,7.9,7.9,735,735,-,-,0.88,0.88,7,7,9,9,482,482,0.2,0.2,-,-
164,2045.0,"GROUND WATER FROM DADU
MAJRA, CHANDIGARH",CHANDIGARH,24.9,26.4,7.1,7.2,714,804,1,1.2,4.9,8.4,2,2,33,41,390,518,0.3,0.7,0.001,0.001
165,2044.0,"GROUND WATER FROM DHANAS VILLAGE, CHANDIGARH",CHANDIGARH,25,26.3,7.0,7.3,566,1042,1,1.2,2.7,4.4,2,2,33,79,426,568,0.2,0.2,0.001,0.001
166,2043.0,"GROUND WATER FROM PALSORA VILLAGE,
CHANDIGARH",CHANDIGARH,25,26.4,7.2,7.4,896,909,1,1.5,2.2,3.8,2,5,49,49,430,570,0.3,0.3,0.001,0.001
167,2039.0,"GROUND WATER FROM SECTOR
15, CHANDIGARH",CHANDIGARH,25,26.3,7.2,7.3,505,550,1,1,4.1,7.2,2,2,26,49,306,380,0.2,0.2,0.001,0.001
168,2040.0,"GROUND WATER FROM SECTOR
22, CHANDIGARH",CHANDIGARH,24.9,26.2,7.0,7.1,694,731,1,1.5,2.7,3.8,2,2,23,27,356,494,0.4,0.5,0.001,0.001
169,2041.0,"GROUND WATER FROM SECTOR
34, CHANDIGARH",CHANDIGARH,24.7,26.1,7.0,7.0,835,857,1,1,3,4.2,2,2,22,79,442,442,0.2,0.3,0.001,0.001
170,2042.0,"GROUND WATER FROM SECTOR
47, CHANDIGARH",CHANDIGARH,25,26.6,7.0,7.3,606,637,1,1,1.8,2.9,2,2,17,40,312,404,0.9,0.9,0.001,0.001
171,3174.0,"BOREWELL/ HANDPUMP IN DHANRAS, NTPC, KORBA,
CHHATISGARH.",CHHATTISGARH,26.2,26.2,7.1,7.3,1502,3102,1,1,1.05,1.05,2,2,2,2,92,236,-,-,-,-
172,3173.0,"BOREWELL/ HANDPUMP IN
PARSABHATA, BALCO, KORBA, CHHATISGARH.",CHHATTISGARH,26,26.1,7.1,7.2,4682,46272,1,1,0.74,0.74,2,2,2,2,226,315,-,-,-,-
173,3172.0,"BOREWELL/ HANDPUMP IN ROGBAHRI VILLAGE, KORBA,
CHHATISGARH.",CHHATTISGARH,26.2,26.2,6.6,7.2,3735,6061,1,1,0.42,0.87,2,2,2,2,232,266,-,-,-,-
174,1623.0,"GROUND WATER AT BILASPUR
REGION, CHHATISGARH.",CHHATTISGARH,27.4,27.4,7.5,7.5,378,378,-,-,0.3,0.3,-,-,-,-,310,310,-,-,-,-
175,1622.0,"GROUND WATER AT GOVIND NAGAR BILASPUR REGION,
CHHATISGARH.",CHHATTISGARH,27.3,27.3,7.4,7.4,348,348,-,-,0.3,0.3,2,2,2,2,248,248,-,-,-,-
176,1620.0,"GROUND WATER AT JANTA COLONY, STATION ROAD,
RAIPUR REGION, CHHATISGARH.",CHHATTISGARH,28,28,7.3,7.5,254,258,-,-,-,-,-,-,-,-,184,198,-,-,-,-
177,1621.0,"GROUND WATER AT RAIPUR
REGION, CHHATISGARH.",CHHATTISGARH,22,28,7.3,7.4,255,262,-,-,-,-,-,-,-,-,187,196,-,-,-,-
178,3171.0,"HAND PUMP WATER 17/10 NEPALI MOHLLA, SHANKAR NAGAR, HEAVY INDUSTRIAL
AREA, BHILAI, CHHATISGARH.",CHHATTISGARH,22,28,7.2,7.5,-,-,4,8,0.6,0.6,-,-,-,-,140,160,-,-,-,-
179,2448.0,"GROUND WATER FROM VILLAGE BHIMPORE, DAMAN","DAMAN AND DIU, DADRA AND
NAGAR HAVELI",27.2,29.2,7.1,7.2,437,443,1,1,3.64,3.8,22,23,48,52,279,294,0.2,0.2,0.01,0.01
180,1440.0,"WELL AT SOMNATH INDUSTRIAL ESTATE, DAMAN","DAMAN AND DIU,
DADRA AND NAGAR HAVELI",28.1,28.3,6.7,7.1,814,835,1,1,3.67,3.9,2,2,2,10,570,590,0.3,0.4,0.01,0.01
181,2454.0,"WELL AT VILLAGE ATHAL, DADRA","DAMAN AND DIU,
DADRA AND NAGAR HAVELI",28.2,28.6,7.1,7.3,563,603,1,1,0.31,0.33,2,2,7,7,383,391,0.8,0.9,0.01,0.01
